Code,Link,Date Of Issue,Department,Title,Meant For,PDF Filename,S3 URL,Extraction Timestamp,Update Timestamp,Verification Timestamp
RBI/2024-25/64CO.DPSS.POLC.No. S528 / 02-14-003 / 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/processing-of-e-mandates-for-recurring-transactions,"Aug 22, 2024",Department of Payment and Settlement Systems,Processing of e-mandates for recurring transactions,"The Chairman / Managing Director / Chief Executive Officer All Scheduled Commercial Banks, including Regional Rural Banks / Urban Co-operative Banks / State Co-operative Banks / District Central Co-operative Banks / Payments Banks / Small Finance Banks / Local Area Banks / Non-bank Prepaid Payment Instrument issuers / Authorised Card Payment Networks / National Payments Corporation of India",Processing_of_e_mandates_for_recurring_transaction_20250108031148.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Processing_of_e_mandates_for_recurring_transaction_20250108031148.pdf,2025-01-08T03:11:54.641084,,
RBI/2024-25/63 DoR.FIN.REC.35/03.10.124/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/review-of-master-direction-non-banking-financial-company-peer-to-peer-lending-platform-reserve-bank-directions-2017,"Aug 16, 2024",Department of Regulation,"Review of Master Direction - Non-Banking Financial Company – Peer to Peer Lending Platform (Reserve Bank) Directions, 2017",All Non-Banking Financial Company – Peer to Peer Lending Platforms,Review_of_Master_Direction___Non_Banking_Financial_20250108031154.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Review_of_Master_Direction___Non_Banking_Financial_20250108031154.pdf,2025-01-08T03:12:03.910011,,
RBI/2024-25/62 DOR.CRE.REC.33/08.12.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/review-of-risk-weights-for-housing-finance-companies-hfcs-,"Aug 12, 2024",Department of Regulation,Review of Risk Weights for Housing Finance Companies (HFCs),Housing Finance Companies,Review_of_Risk_Weights_for_Housing_Finance_Compani_20250108031203.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Review_of_Risk_Weights_for_Housing_Finance_Compani_20250108031203.pdf,2025-01-08T03:12:09.133042,,
RBI/2024-25/61 DOR.FIN.REC.No.34/03.10.136/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/review-of-regulatory-framework-for-hfcs-and-harmonisation-of-regulations-applicable-to-hfcs-and-nbfcs-1,"Aug 12, 2024",Department of Regulation,Review of regulatory framework for HFCs and harmonisation of regulations applicable to HFCs and NBFCs,All Housing Finance Companies (HFCs) All Non-Banking Finance Companies (NBFCs),Review_of_regulatory_framework_for_HFCs_and_harmon_20250108031209.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Review_of_regulatory_framework_for_HFCs_and_harmon_20250108031209.pdf,2025-01-08T03:12:14.627913,,
RBI/2024-25/60 DoR.FIN.REC.No. 32/ 20.16.056/ 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/frequency-of-reporting-of-credit-information-by-credit-institutions-to-credit-information-companies,"Aug 08, 2024",Department of Regulation,Frequency of reporting of credit information by Credit Institutions to Credit Information Companies,"All Commercial Banks (including Small Finance Banks, Local Area Banks and Regional Rural Banks, and excluding Payments Banks) All Primary (Urban) Co-operative Banks/State Co-operative Banks/ Central Co-operative Banks All-India Financial Institutions (Exim Bank, NABARD, NHB, SIDBI and NaBFID) All Non-Banking Financial Companies (including Housing Finance Companies) All Asset Reconstruction Companies All Credit Information Companies",Frequency_of_reporting_of_credit_information_by_Cr_20250108031214.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Frequency_of_reporting_of_credit_information_by_Cr_20250108031214.pdf,2025-01-08T03:12:20.028622,,
RBI/2024-25/59 FIDD.CO.FSD.BC.No.8/05.02.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/modified-interest-subvention-scheme-for-short-term-loans-for-agriculture-and-allied-activities-availed-through-kisan-credit-card-kcc-during-the-financial-year-2024-25,"Aug 06, 2024",Financial Inclusion and Development Department,Modified Interest Subvention Scheme for Short Term Loans for Agriculture and Allied Activities availed through Kisan Credit Card (KCC) during the financial year 2024-25,"The Chairman/Managing Director/Chief Executive Officer All Public Sector Banks, Private Sector Banks and Small Finance Banks",Modified_Interest_Subvention_Scheme_for_Short_Term_20250108031220.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Modified_Interest_Subvention_Scheme_for_Short_Term_20250108031220.pdf,2025-01-08T03:12:25.955879,,
RBI/2024-25/58 DOR.CAP.REC.No.27/09.18.201/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/prudential-treatment-of-bad-and-doubtful-debt-reserve-by-co-operative-banks,"Aug 02, 2024",Department of Regulation,Prudential Treatment of Bad and Doubtful Debt Reserve by Co-operative Banks,"All Primary (Urban) Co-operative Banks, State Co-operative Banks and Central Co-operative Banks",Prudential_Treatment_of_Bad_and_Doubtful_Debt_Rese_20250108031225.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Prudential_Treatment_of_Bad_and_Doubtful_Debt_Rese_20250108031225.pdf,2025-01-08T03:12:31.199641,,
RBI/DPSS/2024-25/123 CO.DPSS.OVRST.No.S447/06-26-002/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-cyber-resilience-and-digital-payment-security-controls-for-non-bank-payment-system-operators,"Jul 30, 2024",Department of Payment and Settlement Systems,Master Directions on Cyber Resilience and Digital Payment Security Controls for non-bank Payment System Operators,The Chairman / Managing Director / Chief Executive Officer Authorised Non-bank Payment System Operators,Master_Directions_on_Cyber_Resilience_and_Digital__20250108031233.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Directions_on_Cyber_Resilience_and_Digital__20250108031233.pdf,2025-01-08T03:12:39.466337,,
RBI/2024-25/57 DOR.CAP.REC.No.30/09.18.201/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/guidelines-on-treatment-of-dividend-equalisation-fund-def-primary-urban-co-operative-banks-ucbs-,"Jul 30, 2024",Department of Regulation,Guidelines on treatment of Dividend Equalisation Fund (DEF)- Primary (Urban) Co-operative Banks (UCBs),All Primary (Urban) Co-operative Bank,Guidelines_on_treatment_of_Dividend_Equalisation_F_20250108031239.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Guidelines_on_treatment_of_Dividend_Equalisation_F_20250108031239.pdf,2025-01-08T03:12:47.007732,,
RBI/Dor/2024-25/122 DoR.FIN.REC.No. 31/20.16.003/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-on-treatment-of-wilful-defaulters-and-large-defaulters,"Jul 30, 2024",Department of Regulation,Master Direction on Treatment of Wilful Defaulters and Large Defaulters,"All Commercial Banks including Small Finance Banks, Local Area Banks and Regional Rural Banks and excluding Payments Banks All Primary (Urban) Co-operative Banks/ State Co-operative Banks/ Central Co-operative Banks All India Financial Institutions (Exim Bank, NABARD, NHB, SIDBI and NaBFID) All Non-Banking Financial Companies including Housing Finance Companies All Asset Reconstruction Companies All Credit Information Companies",Master_Direction_on_Treatment_of_Wilful_Defaulters_20250108031247.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction_on_Treatment_of_Wilful_Defaulters_20250108031247.pdf,2025-01-08T03:12:53.878982,,
RBI/2024-25/56 FMRD.FMID.No. 03/14.01.006/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/-fully-accessible-route-for-investment-by-non-residents-in-government-securities-exclusion-of-new-issuances-in-14-year-and-30-year-tenor-securities,"Jul 29, 2024",Financial Markets Regulation Department,‘Fully Accessible Route’ for Investment by Non-residents in Government Securities – Exclusion of new issuances in 14-year and 30-year tenor securities,All participants in Government Securities market,Fully_Accessible_Route_for_Investment_by_Non_resid_20250108031253.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Fully_Accessible_Route_for_Investment_by_Non_resid_20250108031253.pdf,2025-01-08T03:12:59.402931,,
RBI/2024-25/55 DOS.CO.PPG.SEC.No.8/11.01.005/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/prompt-corrective-action-pca-framework-for-primary-urban-co-operative-banks-ucbs-,"Jul 26, 2024",Department of Supervision,Prompt Corrective Action (PCA) Framework for Primary (Urban) Co-operative Banks (UCBs),All Primary (Urban) Co-operative Banks,Prompt_Corrective_Action_PCA_Framework_for_Primary_20250108031259.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Prompt_Corrective_Action_PCA_Framework_for_Primary_20250108031259.pdf,2025-01-08T03:13:06.022886,,
RBI/2024-25/54 DOR.CRE.REC. 29/07.10.002/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/bank-finance-against-shares-and-debentures,"Jul 25, 2024",Department of Regulation,Bank Finance against Shares and Debentures,All Primary (Urban) Co-operative Banks,Bank_Finance_against_Shares_and_Debentures_20250108031306.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Bank_Finance_against_Shares_and_Debentures_20250108031306.pdf,2025-01-08T03:13:42.023870,,
RBI/2024-25/53 DOR.CRE.REC. 28/07.10.002/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/small-value-loans-primary-urban-co-operative-banks-ucbs-,"Jul 25, 2024",Department of Regulation,Small Value Loans – Primary (Urban) Co-operative Banks (UCBs),All Primary (Urban) Co-operative Banks,Small_Value_Loans__Primary_Urban_Co_operative_Bank_20250108031342.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Small_Value_Loans__Primary_Urban_Co_operative_Bank_20250108031342.pdf,2025-01-08T03:13:49.412478,,
RBI/FED/2024-25/121 FED Master Direction No.15/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-direction-overseas-investment,"Jul 24, 2024",Foreign Exchange Department,Master Direction - Overseas Investment,All Authorised Dealer Category – I banks,Master_Direction___Overseas_Investment_20250108031349.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Direction___Overseas_Investment_20250108031349.pdf,2025-01-08T03:13:56.183991,,
RBI/2024-25/52 CO.DPSS.POLC.No. S415 / 02.27.019 / 2024-25,https://website.rbi.org.in/web/rbi/-/notifications/domestic-money-transfer-review-of-framework,"Jul 24, 2024",Department of Payment and Settlement Systems,Domestic Money Transfer – Review of Framework,The Chairman / Managing Director / Chief Executive Officer Authorised Payment System Operators / Participants (Banks and Non-banks),Domestic_Money_Transfer__Review_of_Framework_20250108031356.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Domestic_Money_Transfer__Review_of_Framework_20250108031356.pdf,2025-01-08T03:14:01.364247,,
RBI/2024-25/120 DOS. CO. FMG. SEC. No. 7/23.04.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-directions-fraud-risk-management-in-non-banking-financial-companies-nbfcs-including-housing-finance-companies-,"Jul 15, 2024",Department of Supervision,Master Directions on Fraud Risk Management in Non-Banking Financial Companies (NBFCs) (including Housing Finance Companies),The Chairman / Managing Director / Chief Executive Officer All Non-Banking Financial Companies (including Housing Finance Companies),Master_Directions_on_Fraud_Risk_Management_in_Non__20250108031401.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Directions_on_Fraud_Risk_Management_in_Non__20250108031401.pdf,2025-01-08T03:14:06.941388,,
RBI/2024-25/119 DOS. CO. FMG.SEC. No. 6 /23.04.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-fraud-risk-management-in-urban-cooperative-banks-ucbs-/-state-cooperative-banks-stcbs-/-central-cooperative-banks-ccbs-,"Jul 15, 2024",Department of Supervision,Master Directions on Fraud Risk Management in Urban Cooperative Banks (UCBs) / State Cooperative Banks (StCBs) / Central Cooperative Banks (CCBs),The Chairman / Managing Director / Chief Executive Officer All Primary (Urban) Cooperative Banks (UCBs) All State Cooperative Banks (StCBs) and Central Cooperative Banks (CCBs),Master_Directions_on_Fraud_Risk_Management_in_Urba_20250108031409.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Directions_on_Fraud_Risk_Management_in_Urba_20250108031409.pdf,2025-01-08T03:14:15.643658,,
RBI/2024-25/118 DOS. CO. FMG. SEC. No.5 /23.04.001/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/master-directions-on-fraud-risk-management-in-commercial-banks-including-regional-rural-banks-and-all-india-financial-institutions,"Jul 15, 2024",Department of Supervision,Master Directions on Fraud Risk Management in Commercial Banks (including Regional Rural Banks) and All India Financial Institutions,The Chairman / Managing Director / Chief Executive Officer All Commercial Banks (including Regional Rural Banks) All India Financial Institutions (AIFIs),Master_Directions_on_Fraud_Risk_Management_in_Comm_20250108031415.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Master_Directions_on_Fraud_Risk_Management_in_Comm_20250108031415.pdf,2025-01-08T03:14:21.239892,,
RBI/2024-25/51 DoS.CO.PPG/SEC.4/11.01.005/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/withdrawal-of-circulars-internal-review,"Jul 12, 2024",Department of Supervision,Withdrawal of Circulars – Internal Review,All Scheduled Commercial Banks All Foreign Banks,Withdrawal_of_Circulars__Internal_Review_20250108031421.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Withdrawal_of_Circulars__Internal_Review_20250108031421.pdf,2025-01-08T03:14:26.284331,,
RBI/2024-25/50 DOR.STR.REC. 26/21.06.008/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/basel-iii-capital-regulations-eligible-credit-rating-agencies-ecai-,"Jul 10, 2024",Department of Regulation,Basel III Capital Regulations - Eligible Credit Rating Agencies (ECAI),"All Scheduled Commercial Banks (including Small Finance Banks) (excluding Local Area Banks, Payments Banks and Regional Rural Banks)",Basel_III_Capital_Regulations___Eligible_Credit_Ra_20250108031426.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Basel_III_Capital_Regulations___Eligible_Credit_Ra_20250108031426.pdf,2025-01-08T03:14:31.595342,,
RBI/2024-25/49 A.P. (DIR Series) Circular No. 15,https://website.rbi.org.in/web/rbi/-/notifications/remittances-to-international-financial-services-centres-ifscs-under-the-liberalised-remittance-scheme-lrs-,"Jul 10, 2024",Foreign Exchange Department,Remittances to International Financial Services Centres (IFSCs) under the Liberalised Remittance Scheme (LRS),All Authorised Persons,Remittances_to_International_Financial_Services_Ce_20250108031431.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Remittances_to_International_Financial_Services_Ce_20250108031431.pdf,2025-01-08T03:14:50.500110,,
RBI/2024-2025/48 A.P. (DIR Series) Circular No. 14,https://website.rbi.org.in/web/rbi/-/notifications/export-import-bank-of-india-s-goi-supported-line-of-credit-of-usd-2.50-mn-to-the-government-of-co-operative-republic-of-guyana-for-installation-of-solar-photo-voltaic-power-plant-at-cheddi-jagan-international-airport,"Jul 08, 2024",Foreign Exchange Department,"Export-Import Bank of India’s GOI-supported Line of Credit of USD 2.50 mn to the Government of Co-operative Republic of Guyana, for installation of Solar Photo Voltaic Power Plant at Cheddi Jagan International Airport",All Category – I Authorised Dealer Banks,Export_Import_Bank_of_Indias_GOI_supported_Line_of_20250108031450.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Export_Import_Bank_of_Indias_GOI_supported_Line_of_20250108031450.pdf,2025-01-08T03:15:00.243437,,
RBI/2024-25/47 A.P. (DIR Series) Circular No. 13,https://website.rbi.org.in/web/rbi/-/notifications/release-of-foreign-exchange-for-miscellaneous-remittances,"Jul 03, 2024",Foreign Exchange Department,Release of foreign exchange for Miscellaneous Remittances,All Authorised Dealers in Foreign Exchange,Release_of_foreign_exchange_for_Miscellaneous_Remi_20250108031500.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Release_of_foreign_exchange_for_Miscellaneous_Remi_20250108031500.pdf,2025-01-08T03:15:05.792326,,
RBI/2024-25/46 A.P. (DIR Series) Circular No. 12,https://website.rbi.org.in/web/rbi/-/notifications/online-submission-of-form-a2-removal-of-limits-on-amount-of-remittance,"Jul 03, 2024",Foreign Exchange Department,Online submission of Form A2: Removal of limits on amount of remittance,All Authorised Dealers in Foreign Exchange,Online_submission_of_Form_A2_Removal_of_limits_on__20250108031505.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Online_submission_of_Form_A2_Removal_of_limits_on__20250108031505.pdf,2025-01-08T03:15:10.843890,,
RBI/2024-25/45 DoR.RET.REC.25/12.07.160/2024-25,https://website.rbi.org.in/web/rbi/-/notifications/exclusion-of-nagar-urban-co-operative-bank-limited-from-the-second-schedule-of-the-reserve-bank-of-india-act-1934,"Jun 28, 2024",Department of Regulation,"Exclusion of “Nagar Urban Co-operative Bank Limited” from the Second Schedule of the Reserve Bank of India Act, 1934",All Commercial and Co-operative Banks,Exclusion_of_Nagar_Urban_Co_operative_Bank_Limited_20250108031510.pdf,https://rbi-docs-storage.s3.amazonaws.com/Circulars/Exclusion_of_Nagar_Urban_Co_operative_Bank_Limited_20250108031510.pdf,2025-01-08T03:15:17.311173,,
